trade_id,window_ts,asset,market_slug,condition_id,clob_order_id,placed_at,resolved_at,direction,entry_price,stake_usd,entry_reason,config_version,source_agreement,delta_chainlink,delta_tiingo,vpin_at_entry,regime,eval_tier,dynamic_cap,order_type,oracle_outcome,trade_outcome,pnl_usd,payout_usd,resolution_source,is_live,notes,created_at
1276,1775759700,BTC,,,,2026-04-09T18:38:23.403699+00:00,2026-04-09T19:38:53.053087+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T106_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T18:43:57.834264+00:00
1278,1775760300,BTC,,,,2026-04-09T18:47:45.611567+00:00,2026-04-09T19:48:05.235598+00:00,NO,0.6700,3.35,v10_DUNE_CASCADE_T142_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.3500,,trigger,True,,2026-04-09T18:53:05.409107+00:00
1282,1775768700,BTC,,,,2026-04-09T21:07:36.792153+00:00,2026-04-09T22:08:19.272121+00:00,YES,0.6800,3.01,v10_DUNE_CASCADE_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.0100,,trigger,True,,2026-04-09T21:12:03.103817+00:00
1283,1775769600,BTC,,,,2026-04-09T21:23:25.937642+00:00,2026-04-09T22:23:32.883886+00:00,NO,0.6800,3.40,v10_DUNE_NORMAL_T100_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T21:26:24.605561+00:00
1285,1775772600,BTC,,,,2026-04-09T22:12:36.063748+00:00,2026-04-09T23:12:35.444540+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T22:17:28.224605+00:00
1287,1775773200,BTC,,,,2026-04-09T22:23:22.725945+00:00,2026-04-09T23:23:48.970422+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T22:25:34.896088+00:00
1288,1775774700,BTC,,,,2026-04-09T22:48:22.959654+00:00,2026-04-09T23:48:28.664570+00:00,NO,0.6800,3.40,v10_DUNE_TRANSITION_T104_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T22:51:07.204123+00:00
1290,1775776500,BTC,,,,2026-04-09T23:17:51.992490+00:00,2026-04-09T23:21:46.702958+00:00,NO,0.6700,3.35,v10_DUNE_CASCADE_T150_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.3500,,trigger,True,,2026-04-09T23:21:46.702958+00:00
1292,1775776800,BTC,,,,2026-04-09T23:22:42.970870+00:00,2026-04-09T23:26:55.561500+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T144_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T23:26:55.561500+00:00
1293,1775777100,BTC,,,,2026-04-09T23:28:53.629860+00:00,2026-04-09T23:32:03.724574+00:00,YES,0.6800,3.40,v10_DUNE_TRANSITION_T72_FAK_CG-0.01,v10,,,,,,DUNE,,,,LOSS,-3.4000,,trigger,True,,2026-04-09T23:32:03.724574+00:00
1294,1775777700,BTC,,,,2026-04-09T23:38:16.096318+00:00,2026-04-09T23:42:18.948519+00:00,YES,0.6800,3.40,v10_DUNE_CASCADE_T110_FAK_CG-0.01,v10,,,,,,DUNE,,,,WIN,1.6000,,trigger,True,,2026-04-09T23:42:18.948519+00:00
